keyword,count
wifi,10909
kitchen,9971
smoke alarm,9879
heating,9832
essentials,9014
tv,8605
carbon monoxide alarm,8508
air conditioning,8109
dryer,8080
hangers,7846
hot water,7146
hair dryer,6924
iron,6822
shampoo,6564
refrigerator,6528
dishes and silverware,6186
cooking basics,5641
bed linens,5423
coffee,5385
microwave,5333
coffee maker,5235
washer,5178
stove,4932
oven,4927
fire extinguisher,4899
dedicated workspace,4878
self check-in,4316
first aid kit,4311
free street parking,4195
long term stays allowed,3930
extra pillows and blankets,3558
cleaning products,3262
bathtub,3231
clothing storage,3049
freezer,2902
body soap,2901
private entrance,2676
security cameras on property,2630
dining table,2619
laundromat nearby,2502
hot water kettle,2449
luggage dropoff allowed,2446
conditioner,2395
lock on bedroom door,2393
dishwasher,2327
shower,2323
wine glasses,2309
elevator,2306
shower gel,2300
pets allowed,2287
lockbox,2261
room-darkening shades,2224
toaster,2187
closet,1904
standard cable,1752
clothing storage: closet,1693
hdtv,1570
tv with standard cable,1564
patio or balcony,1552
window ac unit,1377
backyard,1340
baking sheet,1331
free parking on premises,1309
host greets you,1300
blender,1247
gas,1229
gym,1195
gas stove,1188
central heating,1179
books and reading material,1147
